
> mmo-idle@0.4 bench:balance C:\Users\osaif\Documents\Claude\Projects\MMO idle
> pnpm --filter @mmo-idle/server bench:balance "--" "--mode" "boss" "--tier" "1" "--time-scale" "1" "--max-seconds" "300"


> @mmo-idle/server@0.4 bench:balance C:\Users\osaif\Documents\Claude\Projects\MMO idle\server
> tsx --conditions=development bench/balanceRun.ts "--" "--mode" "boss" "--tier" "1" "--time-scale" "1" "--max-seconds" "300"

build_id,biome_group,content_tier,node_id,is_dungeon,outcome,sim_duration_ms,ticks,time_scale,initial_mob_count,damage_dealt,damage_taken,bot_hp_end,max_hp
cadence-root,cave,1,node-t1-cave-dungeon,1,bot_died,12300,123,1,3,675,300,0,193
cooldown-root,cave,1,node-t1-cave-dungeon,1,bot_died,9900,99,1,3,462,282,0,213
reload-root,cave,1,node-t1-cave-dungeon,1,bot_died,8100,81,1,3,663,214,0,187
energy-root,cave,1,node-t1-cave-dungeon,1,bot_died,14600,146,1,3,1036,217,0,173
dot-root,cave,1,node-t1-cave-dungeon,1,bot_died,18100,181,1,3,494,291.8,0,198
summoner-root,cave,1,node-t1-cave-dungeon,1,clear,26900,269,1,3,936,0,183,183
cadence-root,forest,1,node-t1-forest-dungeon,1,clear,15900,159,1,9,774,58,161.14321369848608,184
cooldown-root,forest,1,node-t1-forest-dungeon,1,clear,15300,153,1,9,675,44,192.8071999999994,204
reload-root,forest,1,node-t1-forest-dungeon,1,clear,13900,139,1,9,682,39,168.73096197165694,178
energy-root,forest,1,node-t1-forest-dungeon,1,clear,13200,132,1,9,714,0,164,164
dot-root,forest,1,node-t1-forest-dungeon,1,clear,20700,207,1,9,506,98.30000000000003,99.16528476998528,189
summoner-root,forest,1,node-t1-forest-dungeon,1,clear,22600,226,1,9,560,92,126.71759999999952,174
cadence-root,mountain,1,node-t1-mountain-dungeon,1,bot_died,8300,83,1,4,309,254,0,182
cooldown-root,mountain,1,node-t1-mountain-dungeon,1,bot_died,13800,138,1,4,661,229,0,202
reload-root,mountain,1,node-t1-mountain-dungeon,1,bot_died,10700,107,1,4,560,216,0,176
energy-root,mountain,1,node-t1-mountain-dungeon,1,bot_died,13200,132,1,4,714,207,0,162
dot-root,mountain,1,node-t1-mountain-dungeon,1,bot_died,8300,83,1,4,156,189,0,187
summoner-root,mountain,1,node-t1-mountain-dungeon,1,clear,35900,359,1,4,1100,79,132.31520000000123,172
cadence-root,plains,1,node-t1-plains-dungeon,1,clear,16200,162,1,12,513,5,164,164
cooldown-root,plains,1,node-t1-plains-dungeon,1,clear,18400,184,1,12,649,6,184,184
reload-root,plains,1,node-t1-plains-dungeon,1,clear,14100,141,1,12,600,3,158,158
energy-root,plains,1,node-t1-plains-dungeon,1,clear,14300,143,1,12,560,0,144,144
dot-root,plains,1,node-t1-plains-dungeon,1,clear,22500,225,1,12,377,14.400000000000004,169,169
summoner-root,plains,1,node-t1-plains-dungeon,1,clear,19900,199,1,12,490,0,154,154
cadence-root,swamp,1,node-t1-swamp-dungeon,1,bot_died,17000,170,1,6,282,9,0,184
cooldown-root,swamp,1,node-t1-swamp-dungeon,1,bot_died,18500,185,1,6,292,8,0,204
reload-root,swamp,1,node-t1-swamp-dungeon,1,clear,19800,198,1,6,500,6,95.58374426045921,178
energy-root,swamp,1,node-t1-swamp-dungeon,1,clear,22100,221,1,6,438,0,150,164
dot-root,swamp,1,node-t1-swamp-dungeon,1,bot_died,25000,250,1,6,203,10.200000000000001,0,189
summoner-root,swamp,1,node-t1-swamp-dungeon,1,clear,28500,285,1,6,409,0,168.66720000000032,174
