order	family	id	identityId	arm	seed	fixture	range	stance	capMs	mode	sourceObservationId	measuredSource
1	B	day2-b-endurance-01-breadth-t3-apprentice-light-node-t3-volcanic-03-s101009-volcanic-control	breadth-t3-apprentice-light	control	101009	node-t3-volcanic-03	mid	offensive-stance	1800000	reused	endurance-01-breadth-t3-apprentice-light-node-t3-volcanic-03-s101009-volcanic	e26fdccd3baaa96fe1d19263349d57d9c5abc626
2	B	day2-b-endurance-01-breadth-t3-apprentice-light-node-t3-volcanic-03-s101009-volcanic-candidate	breadth-t3-apprentice-light	candidate	101009	node-t3-volcanic-03	mid	defensive-stance	1800000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
3	B	day2-b-endurance-01-breadth-t4-striker-heavy-a-node-t4-graveyard-03-s101009-mountain-control	breadth-t4-striker-heavy-a	control	101009	node-t4-graveyard-03	close	offensive-stance	1800000	reused	endurance-01-breadth-t4-striker-heavy-a-node-t4-graveyard-03-s101009-mountain	e26fdccd3baaa96fe1d19263349d57d9c5abc626
4	B	day2-b-endurance-01-breadth-t4-striker-heavy-a-node-t4-graveyard-03-s101009-mountain-candidate	breadth-t4-striker-heavy-a	candidate	101009	node-t4-graveyard-03	close	offensive-stance	1800000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
5	B	day2-b-endurance-01-breadth-t4-conduit-heavy-b-node-t4-graveyard-03-s101009-mountain-control	breadth-t4-conduit-heavy-b	control	101009	node-t4-graveyard-03	close	offensive-stance	1800000	reused	endurance-01-breadth-t4-conduit-heavy-b-node-t4-graveyard-03-s101009-mountain	e26fdccd3baaa96fe1d19263349d57d9c5abc626
6	B	day2-b-endurance-01-breadth-t4-conduit-heavy-b-node-t4-graveyard-03-s101009-mountain-candidate	breadth-t4-conduit-heavy-b	candidate	101009	node-t4-graveyard-03	close	offensive-stance	1800000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
7	B	day2-b-endurance-01-breadth-t4-striker-heavy-c-node-t4-graveyard-03-s101009-mountain-control	breadth-t4-striker-heavy-c	control	101009	node-t4-graveyard-03	close	offensive-stance	1800000	reused	endurance-01-breadth-t4-striker-heavy-c-node-t4-graveyard-03-s101009-mountain	e26fdccd3baaa96fe1d19263349d57d9c5abc626
8	B	day2-b-endurance-01-breadth-t4-striker-heavy-c-node-t4-graveyard-03-s101009-mountain-candidate	breadth-t4-striker-heavy-c	candidate	101009	node-t4-graveyard-03	close	offensive-stance	1800000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
9	B	day2-b-endurance-01-breadth-t3-apprentice-light-node-t3-tundra-03-s101009-volcanic-control	breadth-t3-apprentice-light	control	101009	node-t3-tundra-03	mid	offensive-stance	1800000	reused	endurance-01-breadth-t3-apprentice-light-node-t3-tundra-03-s101009-volcanic	e26fdccd3baaa96fe1d19263349d57d9c5abc626
10	B	day2-b-endurance-01-breadth-t3-apprentice-light-node-t3-tundra-03-s101009-volcanic-candidate	breadth-t3-apprentice-light	candidate	101009	node-t3-tundra-03	mid	defensive-stance	1800000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
11	B	day2-b-endurance-01-breadth-t4-striker-heavy-a-node-t4-desert-03-s101009-mountain-control	breadth-t4-striker-heavy-a	control	101009	node-t4-desert-03	close	offensive-stance	1800000	reused	endurance-01-breadth-t4-striker-heavy-a-node-t4-desert-03-s101009-mountain	e26fdccd3baaa96fe1d19263349d57d9c5abc626
12	B	day2-b-endurance-01-breadth-t4-striker-heavy-a-node-t4-desert-03-s101009-mountain-candidate	breadth-t4-striker-heavy-a	candidate	101009	node-t4-desert-03	close	offensive-stance	1800000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
13	B	day2-b-endurance-01-breadth-t4-conduit-heavy-b-node-t4-desert-03-s101009-mountain-control	breadth-t4-conduit-heavy-b	control	101009	node-t4-desert-03	close	offensive-stance	1800000	reused	endurance-01-breadth-t4-conduit-heavy-b-node-t4-desert-03-s101009-mountain	e26fdccd3baaa96fe1d19263349d57d9c5abc626
14	B	day2-b-endurance-01-breadth-t4-conduit-heavy-b-node-t4-desert-03-s101009-mountain-candidate	breadth-t4-conduit-heavy-b	candidate	101009	node-t4-desert-03	close	offensive-stance	1800000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
15	B	day2-b-endurance-01-breadth-t4-striker-heavy-c-node-t4-desert-03-s101009-mountain-control	breadth-t4-striker-heavy-c	control	101009	node-t4-desert-03	close	offensive-stance	1800000	reused	endurance-01-breadth-t4-striker-heavy-c-node-t4-desert-03-s101009-mountain	e26fdccd3baaa96fe1d19263349d57d9c5abc626
16	B	day2-b-endurance-01-breadth-t4-striker-heavy-c-node-t4-desert-03-s101009-mountain-candidate	breadth-t4-striker-heavy-c	candidate	101009	node-t4-desert-03	close	offensive-stance	1800000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
17	B	day2-b-endurance-01-breadth-t3-apprentice-light-node-t3-volcanic-03-s101021-volcanic-control	breadth-t3-apprentice-light	control	101021	node-t3-volcanic-03	mid	offensive-stance	1800000	reused	endurance-01-breadth-t3-apprentice-light-node-t3-volcanic-03-s101021-volcanic	e26fdccd3baaa96fe1d19263349d57d9c5abc626
18	B	day2-b-endurance-01-breadth-t3-apprentice-light-node-t3-volcanic-03-s101021-volcanic-candidate	breadth-t3-apprentice-light	candidate	101021	node-t3-volcanic-03	mid	defensive-stance	1800000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
19	B	day2-b-endurance-01-breadth-t4-striker-heavy-a-node-t4-graveyard-03-s101021-mountain-control	breadth-t4-striker-heavy-a	control	101021	node-t4-graveyard-03	close	offensive-stance	1800000	reused	endurance-01-breadth-t4-striker-heavy-a-node-t4-graveyard-03-s101021-mountain	e26fdccd3baaa96fe1d19263349d57d9c5abc626
20	B	day2-b-endurance-01-breadth-t4-striker-heavy-a-node-t4-graveyard-03-s101021-mountain-candidate	breadth-t4-striker-heavy-a	candidate	101021	node-t4-graveyard-03	close	offensive-stance	1800000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
21	B	day2-b-endurance-01-breadth-t4-conduit-heavy-b-node-t4-graveyard-03-s101021-mountain-control	breadth-t4-conduit-heavy-b	control	101021	node-t4-graveyard-03	close	offensive-stance	1800000	reused	endurance-01-breadth-t4-conduit-heavy-b-node-t4-graveyard-03-s101021-mountain	e26fdccd3baaa96fe1d19263349d57d9c5abc626
22	B	day2-b-endurance-01-breadth-t4-conduit-heavy-b-node-t4-graveyard-03-s101021-mountain-candidate	breadth-t4-conduit-heavy-b	candidate	101021	node-t4-graveyard-03	close	offensive-stance	1800000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
23	B	day2-b-endurance-01-breadth-t4-striker-heavy-c-node-t4-graveyard-03-s101021-mountain-control	breadth-t4-striker-heavy-c	control	101021	node-t4-graveyard-03	close	offensive-stance	1800000	reused	endurance-01-breadth-t4-striker-heavy-c-node-t4-graveyard-03-s101021-mountain	e26fdccd3baaa96fe1d19263349d57d9c5abc626
24	B	day2-b-endurance-01-breadth-t4-striker-heavy-c-node-t4-graveyard-03-s101021-mountain-candidate	breadth-t4-striker-heavy-c	candidate	101021	node-t4-graveyard-03	close	offensive-stance	1800000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
25	B	day2-b-endurance-01-breadth-t3-apprentice-light-node-t3-tundra-03-s101021-volcanic-control	breadth-t3-apprentice-light	control	101021	node-t3-tundra-03	mid	offensive-stance	1800000	reused	endurance-01-breadth-t3-apprentice-light-node-t3-tundra-03-s101021-volcanic	e26fdccd3baaa96fe1d19263349d57d9c5abc626
26	B	day2-b-endurance-01-breadth-t3-apprentice-light-node-t3-tundra-03-s101021-volcanic-candidate	breadth-t3-apprentice-light	candidate	101021	node-t3-tundra-03	mid	defensive-stance	1800000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
27	B	day2-b-endurance-01-breadth-t4-striker-heavy-a-node-t4-desert-03-s101021-mountain-control	breadth-t4-striker-heavy-a	control	101021	node-t4-desert-03	close	offensive-stance	1800000	reused	endurance-01-breadth-t4-striker-heavy-a-node-t4-desert-03-s101021-mountain	e26fdccd3baaa96fe1d19263349d57d9c5abc626
28	B	day2-b-endurance-01-breadth-t4-striker-heavy-a-node-t4-desert-03-s101021-mountain-candidate	breadth-t4-striker-heavy-a	candidate	101021	node-t4-desert-03	close	offensive-stance	1800000	new		61c12e67cc023c61cff6498fd2e799b3f6b55d50
