order	identity	seed	arm	case
1	breadth-t4-striker-heavy-a	101009	baseline-targeting	desert-strategy-01-breadth-t4-striker-heavy-a-s101009-baseline-targeting
2	breadth-t4-striker-heavy-a	101009	lowhp-targeting	desert-strategy-01-breadth-t4-striker-heavy-a-s101009-lowhp-targeting
3	breadth-t4-squire-heavy-a	101009	baseline-targeting	desert-strategy-01-breadth-t4-squire-heavy-a-s101009-baseline-targeting
4	breadth-t4-squire-heavy-a	101009	lowhp-targeting	desert-strategy-01-breadth-t4-squire-heavy-a-s101009-lowhp-targeting
5	breadth-t4-apprentice-heavy-a	101009	baseline-targeting	desert-strategy-01-breadth-t4-apprentice-heavy-a-s101009-baseline-targeting
6	breadth-t4-apprentice-heavy-a	101009	lowhp-targeting	desert-strategy-01-breadth-t4-apprentice-heavy-a-s101009-lowhp-targeting
7	breadth-t4-slinger-heavy-a	101009	baseline-targeting	desert-strategy-01-breadth-t4-slinger-heavy-a-s101009-baseline-targeting
8	breadth-t4-slinger-heavy-a	101009	lowhp-targeting	desert-strategy-01-breadth-t4-slinger-heavy-a-s101009-lowhp-targeting
9	breadth-t4-conduit-heavy-b	101009	baseline-targeting	desert-strategy-01-breadth-t4-conduit-heavy-b-s101009-baseline-targeting
10	breadth-t4-conduit-heavy-b	101009	lowhp-targeting	desert-strategy-01-breadth-t4-conduit-heavy-b-s101009-lowhp-targeting
11	breadth-t4-spirit-heavy-a	101009	baseline-targeting	desert-strategy-01-breadth-t4-spirit-heavy-a-s101009-baseline-targeting
12	breadth-t4-spirit-heavy-a	101009	lowhp-targeting	desert-strategy-01-breadth-t4-spirit-heavy-a-s101009-lowhp-targeting
13	breadth-t4-striker-heavy-a	101021	lowhp-targeting	desert-strategy-01-breadth-t4-striker-heavy-a-s101021-lowhp-targeting
14	breadth-t4-striker-heavy-a	101021	baseline-targeting	desert-strategy-01-breadth-t4-striker-heavy-a-s101021-baseline-targeting
15	breadth-t4-squire-heavy-a	101021	lowhp-targeting	desert-strategy-01-breadth-t4-squire-heavy-a-s101021-lowhp-targeting
16	breadth-t4-squire-heavy-a	101021	baseline-targeting	desert-strategy-01-breadth-t4-squire-heavy-a-s101021-baseline-targeting
17	breadth-t4-apprentice-heavy-a	101021	lowhp-targeting	desert-strategy-01-breadth-t4-apprentice-heavy-a-s101021-lowhp-targeting
18	breadth-t4-apprentice-heavy-a	101021	baseline-targeting	desert-strategy-01-breadth-t4-apprentice-heavy-a-s101021-baseline-targeting
19	breadth-t4-slinger-heavy-a	101021	lowhp-targeting	desert-strategy-01-breadth-t4-slinger-heavy-a-s101021-lowhp-targeting
20	breadth-t4-slinger-heavy-a	101021	baseline-targeting	desert-strategy-01-breadth-t4-slinger-heavy-a-s101021-baseline-targeting
21	breadth-t4-conduit-heavy-b	101021	lowhp-targeting	desert-strategy-01-breadth-t4-conduit-heavy-b-s101021-lowhp-targeting
22	breadth-t4-conduit-heavy-b	101021	baseline-targeting	desert-strategy-01-breadth-t4-conduit-heavy-b-s101021-baseline-targeting
23	breadth-t4-spirit-heavy-a	101021	lowhp-targeting	desert-strategy-01-breadth-t4-spirit-heavy-a-s101021-lowhp-targeting
24	breadth-t4-spirit-heavy-a	101021	baseline-targeting	desert-strategy-01-breadth-t4-spirit-heavy-a-s101021-baseline-targeting
