order	id	identity	arm	fixture	seed	rp
1	guard-coverage-01-breadth-t4-striker-heavy-a-node-t4-desert-03-s101009-inferno-static	breadth-t4-striker-heavy-a	inferno-static	node-t4-desert-03	101009	40/47
2	guard-coverage-01-breadth-t4-striker-heavy-a-node-t4-desert-03-s101009-inferno-endure	breadth-t4-striker-heavy-a	inferno-endure	node-t4-desert-03	101009	46/47
3	guard-coverage-01-breadth-t4-striker-heavy-a-node-t4-desert-03-s101021-inferno-static	breadth-t4-striker-heavy-a	inferno-static	node-t4-desert-03	101021	40/47
4	guard-coverage-01-breadth-t4-striker-heavy-a-node-t4-desert-03-s101021-inferno-endure	breadth-t4-striker-heavy-a	inferno-endure	node-t4-desert-03	101021	46/47
5	guard-coverage-01-breadth-t4-striker-heavy-a-node-t4-graveyard-03-s101009-inferno-static	breadth-t4-striker-heavy-a	inferno-static	node-t4-graveyard-03	101009	40/47
6	guard-coverage-01-breadth-t4-striker-heavy-a-node-t4-graveyard-03-s101009-inferno-endure	breadth-t4-striker-heavy-a	inferno-endure	node-t4-graveyard-03	101009	46/47
7	guard-coverage-01-breadth-t4-striker-heavy-a-node-t4-graveyard-03-s101021-inferno-static	breadth-t4-striker-heavy-a	inferno-static	node-t4-graveyard-03	101021	40/47
8	guard-coverage-01-breadth-t4-striker-heavy-a-node-t4-graveyard-03-s101021-inferno-endure	breadth-t4-striker-heavy-a	inferno-endure	node-t4-graveyard-03	101021	46/47
9	guard-coverage-01-breadth-t4-striker-heavy-c-node-t4-desert-03-s101009-inferno-static	breadth-t4-striker-heavy-c	inferno-static	node-t4-desert-03	101009	40/47
10	guard-coverage-01-breadth-t4-striker-heavy-c-node-t4-desert-03-s101009-inferno-endure	breadth-t4-striker-heavy-c	inferno-endure	node-t4-desert-03	101009	46/47
11	guard-coverage-01-breadth-t4-striker-heavy-c-node-t4-desert-03-s101021-inferno-static	breadth-t4-striker-heavy-c	inferno-static	node-t4-desert-03	101021	40/47
