id	tier	slot	biome	masteryGate	bossGate	predecessor	authoredStats	upgradeReadbacks
primordial-club	0	weapon	clearing	1			{"attack":8}	[{"plus":0,"authoredStats":{"attack":8},"upgradeStats":{},"mechanics":{},"aps":0.75}]
clearing-vest-t1	0	armor	clearing	2			{"maxHp":20,"plating":4}	[{"plus":0,"authoredStats":{"maxHp":20,"plating":4},"upgradeStats":{},"mechanics":{},"aps":0}]
clearing-charm-t1	0	recovery	clearing	3			{"recovery":2}	[{"plus":0,"authoredStats":{"recovery":2},"upgradeStats":{},"mechanics":{},"aps":0}]
clearing-boots-t1	0	mobility	clearing	4			{"speed":12}	[{"plus":0,"authoredStats":{"speed":12},"upgradeStats":{},"mechanics":{},"aps":0}]
chaotic-axe	1	weapon	cave	1			{"attack":22}	[{"plus":0,"authoredStats":{"attack":22},"upgradeStats":{},"mechanics":{"weapon.dead-swing-interval":3},"aps":1.1},{"plus":3,"authoredStats":{"attack":22},"upgradeStats":{"attack":5},"mechanics":{"weapon.dead-swing-interval":3},"aps":1.1},{"plus":4,"authoredStats":{"attack":22},"upgradeStats":{"attack":8},"mechanics":{"weapon.dead-swing-interval":3},"aps":1.1},{"plus":5,"authoredStats":{"attack":22},"upgradeStats":{"attack":10},"mechanics":{"weapon.dead-swing-interval":3},"aps":1.1}]
cave-vest-t1	1	armor	cave	2			{"maxHp":28,"plating":4,"damageReduction":0.06}	[{"plus":0,"authoredStats":{"maxHp":28,"plating":4,"damageReduction":0.06},"upgradeStats":{},"mechanics":{},"aps":0},{"plus":3,"authoredStats":{"maxHp":28,"plating":4,"damageReduction":0.06},"upgradeStats":{"maxHp":9,"damageReduction":0.03,"plating":1},"mechanics":{},"aps":0},{"plus":4,"authoredStats":{"maxHp":28,"plating":4,"damageReduction":0.06},"upgradeStats":{"maxHp":12,"damageReduction":0.04,"plating":2},"mechanics":{},"aps":0},{"plus":5,"authoredStats":{"maxHp":28,"plating":4,"damageReduction":0.06},"upgradeStats":{"maxHp":14,"damageReduction":0.05,"plating":2},"mechanics":{},"aps":0}]
cave-charm-t1	1	recovery	cave	3			{"recovery":2}	[{"plus":0,"authoredStats":{"recovery":2},"upgradeStats":{},"mechanics":{"defense.absorb-pct":0.08},"aps":0},{"plus":3,"authoredStats":{"recovery":2},"upgradeStats":{"recovery":1},"mechanics":{"defense.absorb-pct":0.1},"aps":0},{"plus":4,"authoredStats":{"recovery":2},"upgradeStats":{"recovery":1},"mechanics":{"defense.absorb-pct":0.11},"aps":0},{"plus":5,"authoredStats":{"recovery":2},"upgradeStats":{"recovery":1},"mechanics":{"defense.absorb-pct":0.12},"aps":0}]
cave-boots-t1	1	mobility	cave	4			{"speed":20}	[{"plus":0,"authoredStats":{"speed":20},"upgradeStats":{},"mechanics":{"mobility.stealth-pct":0.25},"aps":0},{"plus":3,"authoredStats":{"speed":20},"upgradeStats":{"speed":3},"mechanics":{"mobility.stealth-pct":0.31},"aps":0},{"plus":4,"authoredStats":{"speed":20},"upgradeStats":{"speed":4},"mechanics":{"mobility.stealth-pct":0.33},"aps":0},{"plus":5,"authoredStats":{"speed":20},"upgradeStats":{"speed":5},"mechanics":{"mobility.stealth-pct":0.35},"aps":0}]
ruinous-axe	2	weapon	cave	7		chaotic-axe	{"attack":43}	[{"plus":0,"authoredStats":{"attack":43},"upgradeStats":{},"mechanics":{"weapon.dead-swing-interval":4},"aps":1.2},{"plus":3,"authoredStats":{"attack":43},"upgradeStats":{"attack":13},"mechanics":{"weapon.dead-swing-interval":4},"aps":1.2},{"plus":4,"authoredStats":{"attack":43},"upgradeStats":{"attack":17},"mechanics":{"weapon.dead-swing-interval":4},"aps":1.2},{"plus":5,"authoredStats":{"attack":43},"upgradeStats":{"attack":22},"mechanics":{"weapon.dead-swing-interval":4},"aps":1.2}]
cave-vest-t2	2	armor	cave	8		cave-vest-t1	{"maxHp":50,"plating":7,"damageReduction":0.13}	[{"plus":0,"authoredStats":{"maxHp":50,"plating":7,"damageReduction":0.13},"upgradeStats":{},"mechanics":{},"aps":0},{"plus":3,"authoredStats":{"maxHp":50,"plating":7,"damageReduction":0.13},"upgradeStats":{"maxHp":15,"plating":3,"damageReduction":0.03},"mechanics":{},"aps":0},{"plus":4,"authoredStats":{"maxHp":50,"plating":7,"damageReduction":0.13},"upgradeStats":{"maxHp":20,"plating":4,"damageReduction":0.04},"mechanics":{},"aps":0},{"plus":5,"authoredStats":{"maxHp":50,"plating":7,"damageReduction":0.13},"upgradeStats":{"maxHp":26,"plating":4,"damageReduction":0.04},"mechanics":{},"aps":0}]
cave-charm-t2	2	recovery	cave	9		cave-charm-t1	{"recovery":4}	[{"plus":0,"authoredStats":{"recovery":4},"upgradeStats":{},"mechanics":{"defense.absorb-pct":0.14},"aps":0},{"plus":3,"authoredStats":{"recovery":4},"upgradeStats":{"recovery":1},"mechanics":{"defense.absorb-pct":0.17},"aps":0},{"plus":4,"authoredStats":{"recovery":4},"upgradeStats":{"recovery":2},"mechanics":{"defense.absorb-pct":0.18000000000000002},"aps":0},{"plus":5,"authoredStats":{"recovery":4},"upgradeStats":{"recovery":2},"mechanics":{"defense.absorb-pct":0.19},"aps":0}]
cave-boots-t2	2	mobility	cave	10		cave-boots-t1	{"speed":36}	[{"plus":0,"authoredStats":{"speed":36},"upgradeStats":{},"mechanics":{"mobility.stealth-pct":0.38},"aps":0},{"plus":3,"authoredStats":{"speed":36},"upgradeStats":{"speed":6},"mechanics":{"mobility.stealth-pct":0.44},"aps":0},{"plus":4,"authoredStats":{"speed":36},"upgradeStats":{"speed":8},"mechanics":{"mobility.stealth-pct":0.46},"aps":0},{"plus":5,"authoredStats":{"speed":36},"upgradeStats":{"speed":10},"mechanics":{"mobility.stealth-pct":0.48},"aps":0}]
cave-cataclysm-axe	3	weapon	cave	13		ruinous-axe	{"attack":78}	[{"plus":0,"authoredStats":{"attack":78},"upgradeStats":{},"mechanics":{"weapon.dead-swing-interval":5},"aps":1.2},{"plus":3,"authoredStats":{"attack":78},"upgradeStats":{"attack":24},"mechanics":{"weapon.dead-swing-interval":5},"aps":1.2},{"plus":4,"authoredStats":{"attack":78},"upgradeStats":{"attack":31},"mechanics":{"weapon.dead-swing-interval":5},"aps":1.2},{"plus":5,"authoredStats":{"attack":78},"upgradeStats":{"attack":39},"mechanics":{"weapon.dead-swing-interval":5},"aps":1.2}]
cave-vest-t3	3	armor	cave	14		cave-vest-t2	{"maxHp":91,"plating":13,"damageReduction":0.19}	[{"plus":0,"authoredStats":{"maxHp":91,"plating":13,"damageReduction":0.19},"upgradeStats":{},"mechanics":{},"aps":0},{"plus":3,"authoredStats":{"maxHp":91,"plating":13,"damageReduction":0.19},"upgradeStats":{"maxHp":27,"plating":3,"damageReduction":0.03},"mechanics":{},"aps":0},{"plus":4,"authoredStats":{"maxHp":91,"plating":13,"damageReduction":0.19},"upgradeStats":{"maxHp":36,"plating":5,"damageReduction":0.04},"mechanics":{},"aps":0},{"plus":5,"authoredStats":{"maxHp":91,"plating":13,"damageReduction":0.19},"upgradeStats":{"maxHp":45,"plating":6,"damageReduction":0.04},"mechanics":{},"aps":0}]
cave-charm-t3	3	recovery	cave	15		cave-charm-t2	{"recovery":7}	[{"plus":0,"authoredStats":{"recovery":7},"upgradeStats":{},"mechanics":{"defense.absorb-pct":0.2},"aps":0},{"plus":3,"authoredStats":{"recovery":7},"upgradeStats":{"recovery":1},"mechanics":{"defense.absorb-pct":0.23},"aps":0},{"plus":4,"authoredStats":{"recovery":7},"upgradeStats":{"recovery":2},"mechanics":{"defense.absorb-pct":0.24000000000000002},"aps":0},{"plus":5,"authoredStats":{"recovery":7},"upgradeStats":{"recovery":3},"mechanics":{"defense.absorb-pct":0.24000000000000002},"aps":0}]
cave-boots-t3	3	mobility	cave	16		cave-boots-t2	{"speed":65}	[{"plus":0,"authoredStats":{"speed":65},"upgradeStats":{},"mechanics":{"mobility.stealth-pct":0.5},"aps":0},{"plus":3,"authoredStats":{"speed":65},"upgradeStats":{"speed":11},"mechanics":{"mobility.stealth-pct":0.56},"aps":0},{"plus":4,"authoredStats":{"speed":65},"upgradeStats":{"speed":14},"mechanics":{"mobility.stealth-pct":0.58},"aps":0},{"plus":5,"authoredStats":{"speed":65},"upgradeStats":{"speed":18},"mechanics":{"mobility.stealth-pct":0.6},"aps":0}]
core-tempered	2	core	cave	12			{}	[{"plus":0,"authoredStats":{},"upgradeStats":{},"mechanics":{"core.damage-dealt-pct":0.12,"core.maxhp-mult":0.12},"aps":0}]
core-duelist	3	core	cave	18			{}	[{"plus":0,"authoredStats":{},"upgradeStats":{},"mechanics":{"core.damage-dealt-pct":0.18,"core.maxhp-mult":0.1,"core.focus-damage-per-hit-mult":0.05,"core.focus-max-stacks":5},"aps":0}]
flash-rapier	1	weapon	forest	1			{"attack":5}	[{"plus":0,"authoredStats":{"attack":5},"upgradeStats":{},"mechanics":{},"aps":1.5},{"plus":3,"authoredStats":{"attack":5},"upgradeStats":{"attack":1},"mechanics":{},"aps":1.56},{"plus":4,"authoredStats":{"attack":5},"upgradeStats":{"attack":2},"mechanics":{},"aps":1.58},{"plus":5,"authoredStats":{"attack":5},"upgradeStats":{"attack":3},"mechanics":{},"aps":1.6}]
