id	tier	predecessor	gate	plus	baseSpeed	upgradeSpeed	mechanics
clearing-boots-t1	0		clearing:4	0	12	0	{}
cave-boots-t1	1		cave:4	0	20	0	{"mobility.stealth-pct":0.25}
cave-boots-t1	1		cave:4	3	20	3	{"mobility.stealth-pct":0.31}
cave-boots-t1	1		cave:4	4	20	4	{"mobility.stealth-pct":0.33}
cave-boots-t1	1		cave:4	5	20	5	{"mobility.stealth-pct":0.35}
cave-boots-t2	2	cave-boots-t1	cave:10	0	36	0	{"mobility.stealth-pct":0.38}
cave-boots-t2	2	cave-boots-t1	cave:10	3	36	6	{"mobility.stealth-pct":0.44}
cave-boots-t2	2	cave-boots-t1	cave:10	4	36	8	{"mobility.stealth-pct":0.46}
cave-boots-t2	2	cave-boots-t1	cave:10	5	36	10	{"mobility.stealth-pct":0.48}
cave-boots-t3	3	cave-boots-t2	cave:16	0	65	0	{"mobility.stealth-pct":0.5}
cave-boots-t3	3	cave-boots-t2	cave:16	3	65	11	{"mobility.stealth-pct":0.56}
cave-boots-t3	3	cave-boots-t2	cave:16	4	65	14	{"mobility.stealth-pct":0.58}
cave-boots-t3	3	cave-boots-t2	cave:16	5	65	18	{"mobility.stealth-pct":0.6}
forest-boots-t1	1		forest:4	0	22	0	{"mobility.ooc-speed-pct":0.25}
forest-boots-t1	1		forest:4	3	22	6	{"mobility.ooc-speed-pct":0.4}
forest-boots-t1	1		forest:4	4	22	8	{"mobility.ooc-speed-pct":0.45}
forest-boots-t1	1		forest:4	5	22	10	{"mobility.ooc-speed-pct":0.5}
forest-boots-t2	2	forest-boots-t1	forest:10	0	40	0	{"mobility.ooc-speed-pct":0.55}
forest-boots-t2	2	forest-boots-t1	forest:10	3	40	6	{"mobility.ooc-speed-pct":0.7000000000000001}
forest-boots-t2	2	forest-boots-t1	forest:10	4	40	9	{"mobility.ooc-speed-pct":0.75}
forest-boots-t2	2	forest-boots-t1	forest:10	5	40	11	{"mobility.ooc-speed-pct":0.8}
jungle-boots-t2	2		jungle:4	0	22	0	{"mobility.aggro-pull-pct":0.5}
jungle-boots-t2	2		jungle:4	3	22	21	{"mobility.aggro-pull-pct":0.5}
jungle-boots-t2	2		jungle:4	4	22	30	{"mobility.aggro-pull-pct":0.5}
jungle-boots-t2	2		jungle:4	5	22	39	{"mobility.aggro-pull-pct":0.5}
jungle-boots-t3	3	jungle-boots-t2	jungle:10	0	44	0	{"mobility.aggro-pull-pct":0.65}
jungle-boots-t3	3	jungle-boots-t2	jungle:10	3	44	24	{"mobility.aggro-pull-pct":0.65}
jungle-boots-t3	3	jungle-boots-t2	jungle:10	4	44	34	{"mobility.aggro-pull-pct":0.65}
jungle-boots-t3	3	jungle-boots-t2	jungle:10	5	44	44	{"mobility.aggro-pull-pct":0.65}
jungle-boots-t4	4	jungle-boots-t3	jungle:16	0	66	0	{"mobility.aggro-pull-pct":0.8}
jungle-boots-t4	4	jungle-boots-t3	jungle:16	3	66	30	{"mobility.aggro-pull-pct":0.8}
jungle-boots-t4	4	jungle-boots-t3	jungle:16	4	66	42	{"mobility.aggro-pull-pct":0.8}
jungle-boots-t4	4	jungle-boots-t3	jungle:16	5	66	54	{"mobility.aggro-pull-pct":0.8}
mountain-boots-t1	1		mountain:4	0	16	0	{"mobility.approach-speed-pct":0.35}
mountain-boots-t1	1		mountain:4	3	16	3	{"mobility.approach-speed-pct":0.5}
mountain-boots-t1	1		mountain:4	4	16	4	{"mobility.approach-speed-pct":0.55}
mountain-boots-t1	1		mountain:4	5	16	5	{"mobility.approach-speed-pct":0.6}
mountain-boots-t2	2	mountain-boots-t1	mountain:10	0	29	0	{"mobility.approach-speed-pct":0.65}
mountain-boots-t2	2	mountain-boots-t1	mountain:10	3	29	5	{"mobility.approach-speed-pct":0.8}
mountain-boots-t2	2	mountain-boots-t1	mountain:10	4	29	6	{"mobility.approach-speed-pct":0.8500000000000001}
mountain-boots-t2	2	mountain-boots-t1	mountain:10	5	29	8	{"mobility.approach-speed-pct":0.9}
mountain-boots-t3	3	mountain-boots-t2	mountain:16	0	52	0	{"mobility.approach-speed-pct":0.95}
mountain-boots-t3	3	mountain-boots-t2	mountain:16	3	52	9	{"mobility.approach-speed-pct":1.1}
mountain-boots-t3	3	mountain-boots-t2	mountain:16	4	52	11	{"mobility.approach-speed-pct":1.15}
mountain-boots-t3	3	mountain-boots-t2	mountain:16	5	52	14	{"mobility.approach-speed-pct":1.2}
mountain-boots-t4	4	mountain-boots-t3	mountain:22	0	93	0	{"mobility.approach-speed-pct":1.25}
