order	block	identity	path	range	fixture	seed	arm	used_rp	free_rp	observation_id
1	A	breadth-t3-striker-light	Flurry	close	node-t3-volcanic-03	101009	mountain-static	33	5	endurance-01-breadth-t3-striker-light-node-t3-volcanic-03-s101009-mountain
2	A	breadth-t3-squire-light	Warrior	close	node-t3-volcanic-03	101009	volcanic-static	33	5	endurance-01-breadth-t3-squire-light-node-t3-volcanic-03-s101009-volcanic
3	B	breadth-t3-squire-light	Warrior	close	node-t3-volcanic-03	101009	mountain-static	33	5	endurance-01-breadth-t3-squire-light-node-t3-volcanic-03-s101009-mountain
4	A	breadth-t3-apprentice-light	Venom vessel	mid	node-t3-volcanic-03	101009	volcanic-static	36	2	endurance-01-breadth-t3-apprentice-light-node-t3-volcanic-03-s101009-volcanic
5	B	breadth-t3-apprentice-light	Venom vessel	mid	node-t3-volcanic-03	101009	mountain-static	36	2	endurance-01-breadth-t3-apprentice-light-node-t3-volcanic-03-s101009-mountain
6	A	breadth-t3-conduit-light	Splinter	mid	node-t3-volcanic-03	101009	mountain-static	36	2	endurance-01-breadth-t3-conduit-light-node-t3-volcanic-03-s101009-mountain
7	A	breadth-t3-slinger-light	Scout	mid	node-t3-volcanic-03	101009	mountain-static	36	2	endurance-01-breadth-t3-slinger-light-node-t3-volcanic-03-s101009-mountain
8	A	breadth-t3-spirit-light	Spark	mid	node-t3-volcanic-03	101009	mountain-static	36	2	endurance-01-breadth-t3-spirit-light-node-t3-volcanic-03-s101009-mountain
9	A	breadth-t4-striker-light-a	Shockblade	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-striker-light-a-node-t4-graveyard-03-s101009-mountain
10	A	breadth-t4-squire-light-a	Assassin	close	node-t4-graveyard-03	101009	mountain-static	40	7	endurance-01-breadth-t4-squire-light-a-node-t4-graveyard-03-s101009-mountain
11	A	breadth-t4-apprentice-light-a	Venomslinger	mid	node-t4-graveyard-03	101009	mountain-static	43	4	endurance-01-breadth-t4-apprentice-light-a-node-t4-graveyard-03-s101009-mountain
