order	case	block	snapshot	root	frame	fixture	seed	arm	capMs
1	op-t1-striker-plains-t1-developed-s101009	A	t1-developed	striker	balanced	node-t1-plains-03	101009	primary	1200000
2	op-t1-striker-plains-t1-developed-s101009-flash	A-W	t1-developed	striker	balanced	node-t1-plains-03	101009	flash-rapier	1200000
3	op-t1-squire-plains-t1-developed-s101009	A	t1-developed	squire	balanced	node-t1-plains-03	101009	primary	1200000
4	op-t1-apprentice-plains-t1-developed-s101009	A	t1-developed	apprentice	balanced	node-t1-plains-03	101009	primary	1200000
5	op-t1-slinger-plains-t1-developed-s101009	A	t1-developed	slinger	balanced	node-t1-plains-03	101009	primary	1200000
6	op-t1-slinger-plains-t1-developed-s101009-flash	A-W	t1-developed	slinger	balanced	node-t1-plains-03	101009	flash-rapier	1200000
7	op-t1-conduit-plains-t1-developed-s101009	A	t1-developed	conduit	balanced	node-t1-plains-03	101009	primary	1200000
8	op-t1-spirit-plains-t1-developed-s101009	A	t1-developed	spirit	balanced	node-t1-plains-03	101009	primary	1200000
9	op-t1-spirit-plains-t1-developed-s101009-flash	A-W	t1-developed	spirit	balanced	node-t1-plains-03	101009	flash-rapier	1200000
10	op-t2-striker-light-jungle-t2-jungle-arrival-s101009	B	t2-jungle-arrival	striker	light	node-t2-jungle-01	101009	primary	1200000
11	op-t2-striker-light-desert-t2-desert-arrival-s101009	B	t2-desert-arrival	striker	light	node-t2-desert-01	101009	primary	1200000
12	op-t2-striker-light-desert-t2-desert-arrival-s101009-cave	B-C	t2-desert-arrival	striker	light	node-t2-desert-01	101009	cave-charm	1200000
13	op-t2-striker-balanced-jungle-t2-jungle-arrival-s101009	B	t2-jungle-arrival	striker	balanced	node-t2-jungle-01	101009	primary	1200000
14	op-t2-striker-balanced-desert-t2-desert-arrival-s101009	B	t2-desert-arrival	striker	balanced	node-t2-desert-01	101009	primary	1200000
15	op-t2-striker-balanced-desert-t2-desert-arrival-s101009-cave	B-C	t2-desert-arrival	striker	balanced	node-t2-desert-01	101009	cave-charm	1200000
16	op-t2-striker-heavy-jungle-t2-jungle-arrival-s101009	B	t2-jungle-arrival	striker	heavy	node-t2-jungle-01	101009	primary	1200000
17	op-t2-striker-heavy-desert-t2-desert-arrival-s101009	B	t2-desert-arrival	striker	heavy	node-t2-desert-01	101009	primary	1200000
18	op-t2-striker-heavy-desert-t2-desert-arrival-s101009-cave	B-C	t2-desert-arrival	striker	heavy	node-t2-desert-01	101009	cave-charm	1200000
19	op-t2-squire-light-jungle-t2-jungle-arrival-s101009	B	t2-jungle-arrival	squire	light	node-t2-jungle-01	101009	primary	1200000
20	op-t2-squire-light-desert-t2-desert-arrival-s101009	B	t2-desert-arrival	squire	light	node-t2-desert-01	101009	primary	1200000
21	op-t2-squire-light-desert-t2-desert-arrival-s101009-cave	B-C	t2-desert-arrival	squire	light	node-t2-desert-01	101009	cave-charm	1200000
22	op-t2-squire-balanced-jungle-t2-jungle-arrival-s101009	B	t2-jungle-arrival	squire	balanced	node-t2-jungle-01	101009	primary	1200000
23	op-t2-squire-balanced-desert-t2-desert-arrival-s101009	B	t2-desert-arrival	squire	balanced	node-t2-desert-01	101009	primary	1200000
24	op-t2-squire-balanced-desert-t2-desert-arrival-s101009-cave	B-C	t2-desert-arrival	squire	balanced	node-t2-desert-01	101009	cave-charm	1200000
25	op-t2-squire-heavy-jungle-t2-jungle-arrival-s101009	B	t2-jungle-arrival	squire	heavy	node-t2-jungle-01	101009	primary	1200000
26	op-t2-squire-heavy-desert-t2-desert-arrival-s101009	B	t2-desert-arrival	squire	heavy	node-t2-desert-01	101009	primary	1200000
27	op-t2-squire-heavy-desert-t2-desert-arrival-s101009-cave	B-C	t2-desert-arrival	squire	heavy	node-t2-desert-01	101009	cave-charm	1200000
28	op-t2-apprentice-light-jungle-t2-jungle-arrival-s101009	B	t2-jungle-arrival	apprentice	light	node-t2-jungle-01	101009	primary	1200000
29	op-t2-apprentice-light-desert-t2-desert-arrival-s101009	B	t2-desert-arrival	apprentice	light	node-t2-desert-01	101009	primary	1200000
30	op-t2-apprentice-balanced-jungle-t2-jungle-arrival-s101009	B	t2-jungle-arrival	apprentice	balanced	node-t2-jungle-01	101009	primary	1200000
31	op-t2-apprentice-balanced-desert-t2-desert-arrival-s101009	B	t2-desert-arrival	apprentice	balanced	node-t2-desert-01	101009	primary	1200000
