order	block	observationId	arm	seed	fixture	referenceObservationId
1	A	subsystem-arcanist-reverb-control-s101009	control	101009	node-t4-tundra-01	outlier-arcanist-reverb-current-s101009
2	A	subsystem-arcanist-reverb-candidate-s101009	candidate	101009	node-t4-tundra-01	outlier-arcanist-reverb-current-s101009
3	A	subsystem-arcanist-reverb-control-s101033	control	101033	node-t4-tundra-01	outlier-arcanist-reverb-current-s101033
4	A	subsystem-arcanist-reverb-candidate-s101033	candidate	101033	node-t4-tundra-01	outlier-arcanist-reverb-current-s101033
5	A	subsystem-arcanist-idolwright-control-s101009	control	101009	node-t4-tundra-01	outlier-arcanist-idolwright-current-s101009
6	A	subsystem-arcanist-idolwright-candidate-s101009	candidate	101009	node-t4-tundra-01	outlier-arcanist-idolwright-current-s101009
7	A	subsystem-arcanist-idolwright-control-s101033	control	101033	node-t4-tundra-01	outlier-arcanist-idolwright-current-s101033
8	A	subsystem-arcanist-idolwright-candidate-s101033	candidate	101033	node-t4-tundra-01	outlier-arcanist-idolwright-current-s101033
9	B	subsystem-desert-ranger-control-s101009	control	101009	node-t4-tundra-01	outlier-desert-ranger-control-s101009
10	B	subsystem-desert-ranger-candidate-s101009	candidate	101009	node-t4-tundra-01	outlier-desert-ranger-control-s101009
11	B	subsystem-desert-ranger-control-s101033	control	101033	node-t4-tundra-01	outlier-desert-ranger-control-s101033
12	B	subsystem-desert-ranger-candidate-s101033	candidate	101033	node-t4-tundra-01	outlier-desert-ranger-control-s101033
13	B	subsystem-desert-flash-control-s101009	control	101009	node-t4-tundra-01	closing-spirit-light-a-T-s101009
14	B	subsystem-desert-flash-candidate-s101009	candidate	101009	node-t4-tundra-01	closing-spirit-light-a-T-s101009
15	B	subsystem-desert-flash-control-s101033	control	101033	node-t4-tundra-01	closing-spirit-light-a-T-s101033
16	B	subsystem-desert-flash-candidate-s101033	candidate	101033	node-t4-tundra-01	closing-spirit-light-a-T-s101033
17	C	subsystem-swamp-t2-control-s101009	control	101009	node-t2-desert-01	outlier-swamp-t2-control-s101009
18	C	subsystem-swamp-t2-candidate-s101009	candidate	101009	node-t2-desert-01	outlier-swamp-t2-control-s101009
19	C	subsystem-swamp-t2-control-s101033	control	101033	node-t2-desert-01	outlier-swamp-t2-control-s101033
20	C	subsystem-swamp-t2-candidate-s101033	candidate	101033	node-t2-desert-01	outlier-swamp-t2-control-s101033
21	C	subsystem-swamp-t3-control-s101009	control	101009	node-t3-swamp-03	outlier-swamp-t3-control-s101009
22	C	subsystem-swamp-t3-candidate-s101009	candidate	101009	node-t3-swamp-03	outlier-swamp-t3-control-s101009
23	C	subsystem-swamp-t3-control-s101033	control	101033	node-t3-swamp-03	outlier-swamp-t3-control-s101033
24	C	subsystem-swamp-t3-candidate-s101033	candidate	101033	node-t3-swamp-03	outlier-swamp-t3-control-s101033
