order	case	identity	boss	node	seed
1	sbc-spirit-light-forest-s101009	breadth-t2-spirit-light	apex-timberclaw	node-t2-forest-dungeon	101009
2	sbc-spirit-light-mountain-s101009	breadth-t2-spirit-light	stoneplate-juggernaut	node-t2-mountain-dungeon	101009
3	sbc-spirit-balanced-forest-s101009	breadth-t2-spirit-balanced	apex-timberclaw	node-t2-forest-dungeon	101009
4	sbc-spirit-balanced-mountain-s101009	breadth-t2-spirit-balanced	stoneplate-juggernaut	node-t2-mountain-dungeon	101009
5	sbc-spirit-heavy-forest-s101009	breadth-t2-spirit-heavy	apex-timberclaw	node-t2-forest-dungeon	101009
6	sbc-spirit-heavy-mountain-s101009	breadth-t2-spirit-heavy	stoneplate-juggernaut	node-t2-mountain-dungeon	101009
7	sbc-slinger-light-forest-s101009	breadth-t2-slinger-light	apex-timberclaw	node-t2-forest-dungeon	101009
8	sbc-slinger-light-mountain-s101009	breadth-t2-slinger-light	stoneplate-juggernaut	node-t2-mountain-dungeon	101009
9	sbc-squire-heavy-forest-s101009	breadth-t2-squire-heavy	apex-timberclaw	node-t2-forest-dungeon	101009
10	sbc-squire-heavy-mountain-s101009	breadth-t2-squire-heavy	stoneplate-juggernaut	node-t2-mountain-dungeon	101009
11	sbc-squire-heavy-forest-s101021	breadth-t2-squire-heavy	apex-timberclaw	node-t2-forest-dungeon	101021
12	sbc-squire-heavy-mountain-s101021	breadth-t2-squire-heavy	stoneplate-juggernaut	node-t2-mountain-dungeon	101021
13	sbc-slinger-light-forest-s101021	breadth-t2-slinger-light	apex-timberclaw	node-t2-forest-dungeon	101021
14	sbc-slinger-light-mountain-s101021	breadth-t2-slinger-light	stoneplate-juggernaut	node-t2-mountain-dungeon	101021
15	sbc-spirit-heavy-forest-s101021	breadth-t2-spirit-heavy	apex-timberclaw	node-t2-forest-dungeon	101021
16	sbc-spirit-heavy-mountain-s101021	breadth-t2-spirit-heavy	stoneplate-juggernaut	node-t2-mountain-dungeon	101021
17	sbc-spirit-balanced-forest-s101021	breadth-t2-spirit-balanced	apex-timberclaw	node-t2-forest-dungeon	101021
18	sbc-spirit-balanced-mountain-s101021	breadth-t2-spirit-balanced	stoneplate-juggernaut	node-t2-mountain-dungeon	101021
19	sbc-spirit-light-forest-s101021	breadth-t2-spirit-light	apex-timberclaw	node-t2-forest-dungeon	101021
20	sbc-spirit-light-mountain-s101021	breadth-t2-spirit-light	stoneplate-juggernaut	node-t2-mountain-dungeon	101021
