order	allocation	pathId	path	context	seed	capMs	observationId
1	primary	cadence-light-t3-a	Shockblade	V	101009	1200000	closing-striker-light-a-V-s101009
2	primary	cooldown-balanced-t3-a	Reverb	D	101009	1200000	closing-squire-balanced-a-D-s101009
3	primary	dot-heavy-t3-a	Icebreaker	V	101009	1200000	closing-apprentice-heavy-a-V-s101009
4	primary	reload-light-t3-b	Desperado	D	101009	1200000	closing-slinger-light-b-D-s101009
5	primary	summoner-balanced-t3-b	Chorister	V	101009	1200000	closing-conduit-balanced-b-V-s101009
6	primary	energy-heavy-t3-b	Invoker	D	101009	1200000	closing-spirit-heavy-b-D-s101009
7	primary	cadence-balanced-t3-a	Maestro	T	101009	1200000	closing-striker-balanced-a-T-s101009
8	primary	cooldown-heavy-t3-a	Avenger	M	101009	300000	closing-squire-heavy-a-M-s101009
9	primary	dot-light-t3-b	Cultist	T	101009	1200000	closing-apprentice-light-b-T-s101009
10	primary	reload-balanced-t3-b	Blunderbuss	M	101009	300000	closing-slinger-balanced-b-M-s101009
11	primary	summoner-heavy-t3-b	Champion	T	101009	1200000	closing-conduit-heavy-b-T-s101009
12	primary	energy-light-t3-c	Channeler	M	101009	300000	closing-spirit-light-c-M-s101009
13	primary	cadence-heavy-t3-a	Berserker	D	101009	1200000	closing-striker-heavy-a-D-s101009
14	primary	cooldown-light-t3-b	Transcendant	V	101009	1200000	closing-squire-light-b-V-s101009
15	primary	dot-balanced-t3-b	Firebrand	D	101009	1200000	closing-apprentice-balanced-b-D-s101009
16	primary	reload-heavy-t3-b	Warmonger	V	101009	1200000	closing-slinger-heavy-b-V-s101009
17	primary	summoner-light-t3-c	Iconoclast	D	101009	1200000	closing-conduit-light-c-D-s101009
18	primary	energy-balanced-t3-c	Aetherist	V	101009	1200000	closing-spirit-balanced-c-V-s101009
19	primary	cadence-light-t3-b	Scrapper	M	101009	300000	closing-striker-light-b-M-s101009
20	primary	cooldown-balanced-t3-b	Dynamo	T	101009	1200000	closing-squire-balanced-b-T-s101009
21	primary	dot-heavy-t3-b	Winter Warden	M	101009	300000	closing-apprentice-heavy-b-M-s101009
22	primary	reload-light-t3-c	Sniper	T	101009	1200000	closing-slinger-light-c-T-s101009
23	primary	summoner-balanced-t3-c	Ritualist	M	101009	300000	closing-conduit-balanced-c-M-s101009
24	primary	energy-heavy-t3-c	Tempest	T	101009	1200000	closing-spirit-heavy-c-T-s101009
25	primary	cadence-balanced-t3-b	Wavecrest	V	101009	1200000	closing-striker-balanced-b-V-s101009
26	primary	cooldown-heavy-t3-b	Destroyer	D	101009	1200000	closing-squire-heavy-b-D-s101009
27	primary	dot-light-t3-c	Zealot	V	101009	1200000	closing-apprentice-light-c-V-s101009
28	primary	reload-balanced-t3-c	Dualslinger	D	101009	1200000	closing-slinger-balanced-c-D-s101009
29	primary	summoner-heavy-t3-c	Idolwright	V	101009	1200000	closing-conduit-heavy-c-V-s101009
30	primary	energy-light-t3-a	Stormdancer	T	101009	1200000	closing-spirit-light-a-T-s101009
31	primary	cadence-heavy-t3-b	Hemomancer	T	101009	1200000	closing-striker-heavy-b-T-s101009
32	primary	cooldown-light-t3-c	Sunderer	M	101009	300000	closing-squire-light-c-M-s101009
33	primary	dot-balanced-t3-c	Cinder Lord	T	101009	1200000	closing-apprentice-balanced-c-T-s101009
34	primary	reload-heavy-t3-c	Cannoneer	M	101009	300000	closing-slinger-heavy-c-M-s101009
35	primary	summoner-light-t3-a	Inquisitor	V	101009	1200000	closing-conduit-light-a-V-s101009
36	primary	energy-balanced-t3-a	Equinox	D	101009	1200000	closing-spirit-balanced-a-D-s101009
37	primary	cadence-light-t3-c	Swiftblade	D	101009	1200000	closing-striker-light-c-D-s101009
38	primary	cooldown-balanced-t3-c	Stalwart	V	101009	1200000	closing-squire-balanced-c-V-s101009
39	primary	dot-heavy-t3-c	Wind Spirit	D	101009	1200000	closing-apprentice-heavy-c-D-s101009
40	primary	reload-light-t3-a	Duelist	M	101009	300000	closing-slinger-light-a-M-s101009
41	primary	summoner-balanced-t3-a	Marshal	T	101009	1200000	closing-conduit-balanced-a-T-s101009
42	primary	energy-heavy-t3-a	Voidwalker	M	101009	300000	closing-spirit-heavy-a-M-s101009
43	primary	cadence-balanced-t3-c	Justicar	M	101009	300000	closing-striker-balanced-c-M-s101009
44	primary	cooldown-heavy-t3-c	Devout Priest	T	101009	1200000	closing-squire-heavy-c-T-s101009
45	primary	dot-light-t3-a	Venomslinger	D	101009	1200000	closing-apprentice-light-a-D-s101009
46	primary	reload-balanced-t3-a	Bounty hunter	V	101009	1200000	closing-slinger-balanced-a-V-s101009
47	primary	summoner-heavy-t3-a	Covenanter	D	101009	1200000	closing-conduit-heavy-a-D-s101009
48	primary	energy-light-t3-b	Surge	V	101009	1200000	closing-spirit-light-b-V-s101009
49	primary	cadence-heavy-t3-c	Juggernaut	V	101009	1200000	closing-striker-heavy-c-V-s101009
50	primary	cooldown-light-t3-a	Assassin	T	101009	1200000	closing-squire-light-a-T-s101009
51	primary	dot-balanced-t3-a	Pyromancer	M	101009	300000	closing-apprentice-balanced-a-M-s101009
52	primary	reload-heavy-t3-a	Melter	T	101009	1200000	closing-slinger-heavy-a-T-s101009
53	primary	summoner-light-t3-b	Kilnmaster	M	101009	300000	closing-conduit-light-b-M-s101009
54	primary	energy-balanced-t3-b	Stormbringer	T	101009	1200000	closing-spirit-balanced-b-T-s101009
55	primary	cadence-light-t3-a	Shockblade	T	101009	1200000	closing-striker-light-a-T-s101009
56	primary	cooldown-balanced-t3-a	Reverb	M	101009	300000	closing-squire-balanced-a-M-s101009
57	primary	dot-heavy-t3-a	Icebreaker	T	101009	1200000	closing-apprentice-heavy-a-T-s101009
58	primary	reload-light-t3-b	Desperado	M	101009	300000	closing-slinger-light-b-M-s101009
59	primary	summoner-balanced-t3-b	Chorister	T	101009	1200000	closing-conduit-balanced-b-T-s101009
60	primary	energy-heavy-t3-b	Invoker	M	101009	300000	closing-spirit-heavy-b-M-s101009
61	primary	cadence-balanced-t3-a	Maestro	D	101009	1200000	closing-striker-balanced-a-D-s101009
62	primary	cooldown-heavy-t3-a	Avenger	V	101009	1200000	closing-squire-heavy-a-V-s101009
63	primary	dot-light-t3-b	Cultist	D	101009	1200000	closing-apprentice-light-b-D-s101009
64	primary	reload-balanced-t3-b	Blunderbuss	V	101009	1200000	closing-slinger-balanced-b-V-s101009
65	primary	summoner-heavy-t3-b	Champion	D	101009	1200000	closing-conduit-heavy-b-D-s101009
66	primary	energy-light-t3-c	Channeler	V	101009	1200000	closing-spirit-light-c-V-s101009
67	primary	cadence-heavy-t3-a	Berserker	M	101009	300000	closing-striker-heavy-a-M-s101009
68	primary	cooldown-light-t3-b	Transcendant	T	101009	1200000	closing-squire-light-b-T-s101009
69	primary	dot-balanced-t3-b	Firebrand	M	101009	300000	closing-apprentice-balanced-b-M-s101009
70	primary	reload-heavy-t3-b	Warmonger	T	101009	1200000	closing-slinger-heavy-b-T-s101009
71	primary	summoner-light-t3-c	Iconoclast	M	101009	300000	closing-conduit-light-c-M-s101009
72	primary	energy-balanced-t3-c	Aetherist	T	101009	1200000	closing-spirit-balanced-c-T-s101009
73	primary	cadence-light-t3-b	Scrapper	V	101009	1200000	closing-striker-light-b-V-s101009
74	primary	cooldown-balanced-t3-b	Dynamo	D	101009	1200000	closing-squire-balanced-b-D-s101009
75	primary	dot-heavy-t3-b	Winter Warden	V	101009	1200000	closing-apprentice-heavy-b-V-s101009
76	primary	reload-light-t3-c	Sniper	D	101009	1200000	closing-slinger-light-c-D-s101009
77	primary	summoner-balanced-t3-c	Ritualist	V	101009	1200000	closing-conduit-balanced-c-V-s101009
78	primary	energy-heavy-t3-c	Tempest	D	101009	1200000	closing-spirit-heavy-c-D-s101009
79	primary	cadence-balanced-t3-b	Wavecrest	T	101009	1200000	closing-striker-balanced-b-T-s101009
80	primary	cooldown-heavy-t3-b	Destroyer	M	101009	300000	closing-squire-heavy-b-M-s101009
81	primary	dot-light-t3-c	Zealot	T	101009	1200000	closing-apprentice-light-c-T-s101009
82	primary	reload-balanced-t3-c	Dualslinger	M	101009	300000	closing-slinger-balanced-c-M-s101009
83	primary	summoner-heavy-t3-c	Idolwright	T	101009	1200000	closing-conduit-heavy-c-T-s101009
84	primary	energy-light-t3-a	Stormdancer	D	101009	1200000	closing-spirit-light-a-D-s101009
85	primary	cadence-heavy-t3-b	Hemomancer	D	101009	1200000	closing-striker-heavy-b-D-s101009
86	primary	cooldown-light-t3-c	Sunderer	V	101009	1200000	closing-squire-light-c-V-s101009
87	primary	dot-balanced-t3-c	Cinder Lord	D	101009	1200000	closing-apprentice-balanced-c-D-s101009
88	primary	reload-heavy-t3-c	Cannoneer	V	101009	1200000	closing-slinger-heavy-c-V-s101009
89	primary	summoner-light-t3-a	Inquisitor	T	101009	1200000	closing-conduit-light-a-T-s101009
90	primary	energy-balanced-t3-a	Equinox	M	101009	300000	closing-spirit-balanced-a-M-s101009
91	primary	cadence-light-t3-c	Swiftblade	M	101009	300000	closing-striker-light-c-M-s101009
92	primary	cooldown-balanced-t3-c	Stalwart	T	101009	1200000	closing-squire-balanced-c-T-s101009
93	primary	dot-heavy-t3-c	Wind Spirit	M	101009	300000	closing-apprentice-heavy-c-M-s101009
94	primary	reload-light-t3-a	Duelist	V	101009	1200000	closing-slinger-light-a-V-s101009
95	primary	summoner-balanced-t3-a	Marshal	D	101009	1200000	closing-conduit-balanced-a-D-s101009
96	primary	energy-heavy-t3-a	Voidwalker	V	101009	1200000	closing-spirit-heavy-a-V-s101009
97	primary	cadence-balanced-t3-c	Justicar	V	101009	1200000	closing-striker-balanced-c-V-s101009
98	primary	cooldown-heavy-t3-c	Devout Priest	D	101009	1200000	closing-squire-heavy-c-D-s101009
99	primary	dot-light-t3-a	Venomslinger	M	101009	300000	closing-apprentice-light-a-M-s101009
100	primary	reload-balanced-t3-a	Bounty hunter	T	101009	1200000	closing-slinger-balanced-a-T-s101009
101	primary	summoner-heavy-t3-a	Covenanter	M	101009	300000	closing-conduit-heavy-a-M-s101009
102	primary	energy-light-t3-b	Surge	T	101009	1200000	closing-spirit-light-b-T-s101009
103	primary	cadence-heavy-t3-c	Juggernaut	T	101009	1200000	closing-striker-heavy-c-T-s101009
104	primary	cooldown-light-t3-a	Assassin	D	101009	1200000	closing-squire-light-a-D-s101009
105	primary	dot-balanced-t3-a	Pyromancer	V	101009	1200000	closing-apprentice-balanced-a-V-s101009
106	primary	reload-heavy-t3-a	Melter	D	101009	1200000	closing-slinger-heavy-a-D-s101009
107	primary	summoner-light-t3-b	Kilnmaster	V	101009	1200000	closing-conduit-light-b-V-s101009
108	primary	energy-balanced-t3-b	Stormbringer	D	101009	1200000	closing-spirit-balanced-b-D-s101009
109	primary	cadence-light-t3-a	Shockblade	D	101009	1200000	closing-striker-light-a-D-s101009
110	primary	cooldown-balanced-t3-a	Reverb	V	101009	1200000	closing-squire-balanced-a-V-s101009
111	primary	dot-heavy-t3-a	Icebreaker	D	101009	1200000	closing-apprentice-heavy-a-D-s101009
