order	observationId	identityId	context	fixture	seed	capMs
1	t4-striker-light-a-F1-s101009	breadth-t4-striker-light-a	F1	node-t4-volcanic-01	101009	600000
2	t4-squire-balanced-a-F2-s101009	breadth-t4-squire-balanced-a	F2	node-t4-tundra-01	101009	600000
3	t4-apprentice-heavy-a-B1-s101009	breadth-t4-apprentice-heavy-a	B1	node-t4-mountain-dungeon	101009	300000
4	t4-slinger-light-b-B2-s101009	breadth-t4-slinger-light-b	B2	node-t4-graveyard-dungeon	101009	300000
5	t4-conduit-balanced-b-F1-s101009	breadth-t4-conduit-balanced-b	F1	node-t4-volcanic-01	101009	600000
6	t4-spirit-heavy-b-F2-s101009	breadth-t4-spirit-heavy-b	F2	node-t4-tundra-01	101009	600000
7	t4-striker-light-a-F2-s101009	breadth-t4-striker-light-a	F2	node-t4-tundra-01	101009	600000
8	t4-squire-balanced-a-B1-s101009	breadth-t4-squire-balanced-a	B1	node-t4-mountain-dungeon	101009	300000
9	t4-apprentice-heavy-a-B2-s101009	breadth-t4-apprentice-heavy-a	B2	node-t4-graveyard-dungeon	101009	300000
10	t4-slinger-light-b-F1-s101009	breadth-t4-slinger-light-b	F1	node-t4-volcanic-01	101009	600000
11	t4-conduit-balanced-b-F2-s101009	breadth-t4-conduit-balanced-b	F2	node-t4-tundra-01	101009	600000
12	t4-spirit-heavy-b-B1-s101009	breadth-t4-spirit-heavy-b	B1	node-t4-mountain-dungeon	101009	300000
13	t4-striker-light-a-B1-s101009	breadth-t4-striker-light-a	B1	node-t4-mountain-dungeon	101009	300000
14	t4-squire-balanced-a-B2-s101009	breadth-t4-squire-balanced-a	B2	node-t4-graveyard-dungeon	101009	300000
15	t4-apprentice-heavy-a-F1-s101009	breadth-t4-apprentice-heavy-a	F1	node-t4-volcanic-01	101009	600000
16	t4-slinger-light-b-F2-s101009	breadth-t4-slinger-light-b	F2	node-t4-tundra-01	101009	600000
17	t4-conduit-balanced-b-B1-s101009	breadth-t4-conduit-balanced-b	B1	node-t4-mountain-dungeon	101009	300000
18	t4-spirit-heavy-b-B2-s101009	breadth-t4-spirit-heavy-b	B2	node-t4-graveyard-dungeon	101009	300000
19	t4-striker-light-a-B2-s101009	breadth-t4-striker-light-a	B2	node-t4-graveyard-dungeon	101009	300000
20	t4-squire-balanced-a-F1-s101009	breadth-t4-squire-balanced-a	F1	node-t4-volcanic-01	101009	600000
21	t4-apprentice-heavy-a-F2-s101009	breadth-t4-apprentice-heavy-a	F2	node-t4-tundra-01	101009	600000
22	t4-slinger-light-b-B1-s101009	breadth-t4-slinger-light-b	B1	node-t4-mountain-dungeon	101009	300000
23	t4-conduit-balanced-b-B2-s101009	breadth-t4-conduit-balanced-b	B2	node-t4-graveyard-dungeon	101009	300000
24	t4-spirit-heavy-b-F1-s101009	breadth-t4-spirit-heavy-b	F1	node-t4-volcanic-01	101009	600000
25	t4-striker-balanced-a-F1-s101009	breadth-t4-striker-balanced-a	F1	node-t4-volcanic-01	101009	600000
26	t4-squire-heavy-a-F2-s101009	breadth-t4-squire-heavy-a	F2	node-t4-tundra-01	101009	600000
27	t4-apprentice-light-b-B1-s101009	breadth-t4-apprentice-light-b	B1	node-t4-mountain-dungeon	101009	300000
28	t4-slinger-balanced-b-B2-s101009	breadth-t4-slinger-balanced-b	B2	node-t4-graveyard-dungeon	101009	300000
29	t4-conduit-heavy-b-F1-s101009	breadth-t4-conduit-heavy-b	F1	node-t4-volcanic-01	101009	600000
30	t4-spirit-light-c-F2-s101009	breadth-t4-spirit-light-c	F2	node-t4-tundra-01	101009	600000
31	t4-striker-balanced-a-F2-s101009	breadth-t4-striker-balanced-a	F2	node-t4-tundra-01	101009	600000
32	t4-squire-heavy-a-B1-s101009	breadth-t4-squire-heavy-a	B1	node-t4-mountain-dungeon	101009	300000
33	t4-apprentice-light-b-B2-s101009	breadth-t4-apprentice-light-b	B2	node-t4-graveyard-dungeon	101009	300000
34	t4-slinger-balanced-b-F1-s101009	breadth-t4-slinger-balanced-b	F1	node-t4-volcanic-01	101009	600000
35	t4-conduit-heavy-b-F2-s101009	breadth-t4-conduit-heavy-b	F2	node-t4-tundra-01	101009	600000
36	t4-spirit-light-c-B1-s101009	breadth-t4-spirit-light-c	B1	node-t4-mountain-dungeon	101009	300000
37	t4-striker-balanced-a-B1-s101009	breadth-t4-striker-balanced-a	B1	node-t4-mountain-dungeon	101009	300000
38	t4-squire-heavy-a-B2-s101009	breadth-t4-squire-heavy-a	B2	node-t4-graveyard-dungeon	101009	300000
39	t4-apprentice-light-b-F1-s101009	breadth-t4-apprentice-light-b	F1	node-t4-volcanic-01	101009	600000
40	t4-slinger-balanced-b-F2-s101009	breadth-t4-slinger-balanced-b	F2	node-t4-tundra-01	101009	600000
41	t4-conduit-heavy-b-B1-s101009	breadth-t4-conduit-heavy-b	B1	node-t4-mountain-dungeon	101009	300000
42	t4-spirit-light-c-B2-s101009	breadth-t4-spirit-light-c	B2	node-t4-graveyard-dungeon	101009	300000
43	t4-striker-balanced-a-B2-s101009	breadth-t4-striker-balanced-a	B2	node-t4-graveyard-dungeon	101009	300000
44	t4-squire-heavy-a-F1-s101009	breadth-t4-squire-heavy-a	F1	node-t4-volcanic-01	101009	600000
45	t4-apprentice-light-b-F2-s101009	breadth-t4-apprentice-light-b	F2	node-t4-tundra-01	101009	600000
46	t4-slinger-balanced-b-B1-s101009	breadth-t4-slinger-balanced-b	B1	node-t4-mountain-dungeon	101009	300000
47	t4-conduit-heavy-b-B2-s101009	breadth-t4-conduit-heavy-b	B2	node-t4-graveyard-dungeon	101009	300000
48	t4-spirit-light-c-F1-s101009	breadth-t4-spirit-light-c	F1	node-t4-volcanic-01	101009	600000
49	t4-striker-heavy-a-F1-s101009	breadth-t4-striker-heavy-a	F1	node-t4-volcanic-01	101009	600000
50	t4-squire-light-b-F2-s101009	breadth-t4-squire-light-b	F2	node-t4-tundra-01	101009	600000
51	t4-apprentice-balanced-b-B1-s101009	breadth-t4-apprentice-balanced-b	B1	node-t4-mountain-dungeon	101009	300000
52	t4-slinger-heavy-b-B2-s101009	breadth-t4-slinger-heavy-b	B2	node-t4-graveyard-dungeon	101009	300000
53	t4-conduit-light-c-F1-s101009	breadth-t4-conduit-light-c	F1	node-t4-volcanic-01	101009	600000
