order	id	block	policy	sourceArm	seed	capMs	fixture	rp
1	heat-striker-balanced-b-H0-s101009	H	H0	candidate	101009	2400000	node-t4-volcanic-01	40
2	heat-striker-balanced-b-H1-s101009	H	H1	candidate	101009	2400000	node-t4-volcanic-01	41
3	heat-striker-balanced-b-H2-s101009	H	H2	candidate	101009	2400000	node-t4-volcanic-01	41
4	heat-apprentice-balanced-a-H0-s101009	H	H0	candidate	101009	2400000	node-t4-volcanic-01	40
5	heat-apprentice-balanced-a-H1-s101009	H	H1	candidate	101009	2400000	node-t4-volcanic-01	41
6	heat-apprentice-balanced-a-H2-s101009	H	H2	candidate	101009	2400000	node-t4-volcanic-01	41
7	heat-slinger-light-a-H0-s101009	H	H0	candidate	101009	2400000	node-t4-volcanic-01	43
8	heat-slinger-light-a-H1-s101009	H	H1	candidate	101009	2400000	node-t4-volcanic-01	44
9	heat-slinger-light-a-H2-s101009	H	H2	candidate	101009	2400000	node-t4-volcanic-01	44
10	heat-striker-balanced-b-H0-s101033	H	H0	candidate	101033	2400000	node-t4-volcanic-01	40
11	heat-striker-balanced-b-H1-s101033	H	H1	candidate	101033	2400000	node-t4-volcanic-01	41
12	heat-striker-balanced-b-H2-s101033	H	H2	candidate	101033	2400000	node-t4-volcanic-01	41
13	heat-apprentice-balanced-a-H0-s101033	H	H0	candidate	101033	2400000	node-t4-volcanic-01	40
14	heat-apprentice-balanced-a-H1-s101033	H	H1	candidate	101033	2400000	node-t4-volcanic-01	41
15	heat-apprentice-balanced-a-H2-s101033	H	H2	candidate	101033	2400000	node-t4-volcanic-01	41
16	heat-slinger-light-a-H0-s101033	H	H0	candidate	101033	2400000	node-t4-volcanic-01	43
17	heat-slinger-light-a-H1-s101033	H	H1	candidate	101033	2400000	node-t4-volcanic-01	44
18	heat-slinger-light-a-H2-s101033	H	H2	candidate	101033	2400000	node-t4-volcanic-01	44
19	heat-N-control-s101009	N	unequipped	control	101009	600000	node-t4-tundra-01	43
20	heat-N-candidate-s101009	N	unequipped	candidate	101009	600000	node-t4-tundra-01	43
21	heat-N-control-s101033	N	unequipped	control	101033	600000	node-t4-tundra-01	43
22	heat-N-candidate-s101033	N	unequipped	candidate	101033	600000	node-t4-tundra-01	43
23	heat-B-control-s101009	B	unequipped	control	101009	300000	node-t3-volcanic-dungeon	36
24	heat-B-candidate-s101009	B	unequipped	candidate	101009	300000	node-t3-volcanic-dungeon	36
25	heat-B-control-s101033	B	unequipped	control	101033	300000	node-t3-volcanic-dungeon	36
26	heat-B-candidate-s101033	B	unequipped	candidate	101033	300000	node-t3-volcanic-dungeon	36
