dir                     apprentic    conduit    slinger     spirit     squire    striker  deaths  medianM
baseline                  D0.2@1%   D8.0@20%    D0.4@2%    D0.3@2%   D9.4@40%    D0.9@5%       6        -
volc-base-holdout         D0.6@2%    D1.9@2%    D0.9@2%    D1.0@5%    D1.8@7%    D0.5@1%       6        -
volc-A                    D0.3@2%   D8.6@22%    D1.3@6%    D0.3@2%      22.0    D2.0@10%       5     22.0
volc-B                    D2.1@8%  D18.8@73%   D8.8@35%    D0.7@4%      22.5    D2.3@10%       5     22.5
volc-C                    D0.2@1%  D15.4@43%    D1.3@6%    D0.3@2%      22.0    D3.6@17%       5     22.0
volc-AB                  D2.5@11%      28.7    D3.1@13%    D0.7@4%      21.8    D7.5@35%       4     28.7
volc-BD                 D20.4@80%      27.4     D2.1@8%    D0.8@4%      22.3   D11.9@60%       4     27.4
volc-BD-holdout           D2.5@9%      38.3    D4.2@16%   D2.6@10%      23.2     D1.6@7%       4     38.3
v-E1-n02                D24.0@95%      21.0       23.0    D5.9@30%      22.4  D19.0@100%       3     22.4
v-E1-n04                 D3.9@16%      28.1     D2.2@9%   D6.3@32%      21.1     D1.0@4%       4     28.1
v-E2-n02                    22.5       22.0   D18.0@91%      18.1       22.4   D13.4@70%       2     22.4
v-E2-n04                 D7.7@36%  D24.8@94%  D18.7@81%  D15.4@73%      21.7     D1.0@4%       5     21.7
v-E3-n02                    24.8       20.3       20.7    D2.7@14%      22.2       18.3        1     20.7
v-E3-n04                    22.7       21.6   D10.4@46%   D8.7@43%      21.1       19.0        2     21.6
v-G-n02                 D18.7@81%      19.9       20.9    D9.4@53%      21.9       18.5        2     20.9
v-G-n04                  D6.5@29%      23.2       21.8     D2.0@9%      20.8   D17.5@93%       3     21.8
v-E4-n02                    23.5       22.2       23.0   D15.1@84%      22.8       19.4        1     22.8
v-E4-n04                    23.4       27.1   D16.0@69%  D10.0@52%      20.9       19.6        2     23.4
v-E5-n02                    24.0       22.1       22.6       18.3       22.2       18.9        0     22.2
v-E5-n04                    23.7       31.1   D18.1@76%    D2.0@9%      22.1       20.5        2     23.7
v-E6-n02                    23.4       22.5       22.7    D9.0@49%      23.0       19.9        1     22.7
v-E6-n04                    22.4       31.3   D14.0@62%   D2.9@15%      22.3    D6.8@34%       3     22.4
vfinal-n02                  31.6       31.4       30.6   D20.9@86%      30.2       26.6        1     30.6
vfinal-n04                  31.2       38.7       32.2     D2.7@9%      30.9       26.6        1     31.2
vfinal-n05                  32.0       32.6       32.1    D4.9@18%      32.0       27.7        1     32.0
